ANO,COD_MUNICIPIO,NOME_MUNICIPIO,DEPENDENCIA_ADM,MEDIA_GERAL_CN,MEDIA_GERAL_CH,MEDIA_GERAL_LC,MEDIA_GERAL_MT,MEDIA_GERAL_REDACAO,MEDIA_CN_F,MEDIA_CH_F,MEDIA_LC_F,MEDIA_MT_F,MEDIA_REDACAO_F,MEDIA_CN_M,MEDIA_CH_M,MEDIA_LC_M,MEDIA_MT_M,MEDIA_REDACAO_M,TAXA_APROVACAO_3S,NOTA_SAEB_MT,NOTA_SAEB_LC,IDEB,PIB_MUNICIPIO,PIB_PER_CAPITA,VALOR_ADM_PUBLICA,ACESSO_A_INTERNET(%),ALUNOS_COM_ACESSO_A_INTERNET(%),ESCOLAS_COM_LABORATÓRIO_DE_INFORMÁTICA(%),ESCOLAS_COM_DESKTOP_PARA_ALUNOS(%),ESCOLAS_COM COMPUTADOR_PORTATIL_PARA_ALUNOS(%),ESCOLAS_COM_TABLET_PARA _ALUNOS(%),ESCOLAS_COM_EQUIPAMENTOS_PARA_ACESSO_A_INTERNET_DOS_ALUNOS(%),ESCOLAS_COM_ATENDIMENTO_EDUCACIONAL_ESPECIALIZADO(%),ESCOLAS_COM_EJA_NO_ENSINO_MEDIO(%),TOTAL_DE_ESCOLAS_POR_DEPENDENCIA
2017,2502102,Boa Ventura,3,445.27,466.53,443.4,420.03,306.67,411.6,458.85,427.95,394.2,160.0,512.6,481.9,474.3,471.7,600.0,96.8,231.23,225.6,3.0,41912.257,7835.53,26610.032,,,,,,,,,,
2017,2502151,Boa Vista,2,472.56,479.54,463.76,465.4,460.0,472.66,481.06,469.77,454.86,471.79,472.4,477.17,454.38,481.84,441.6,97.5,237.4,247.6,3.6,126850.961,17909.21,37665.198,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502201,Bom Jesus,2,465.21,468.16,474.37,468.94,454.0,460.11,454.82,464.04,442.48,398.0,470.31,481.49,484.7,495.41,510.0,96.0,246.88,260.31,3.5,26206.414,10208.97,15555.725,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502300,Bom Sucesso,2,478.44,458.4,457.58,439.34,465.0,485.31,462.3,476.18,441.54,501.43,468.81,452.94,431.55,436.26,414.0,94.4,235.44,236.62,2.9,41481.093,8342.94,25531.074,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2017,2502409,Bonito de Santa Fé,2,478.17,473.28,460.71,487.17,458.14,475.4,471.29,464.92,484.76,495.0,483.33,477.01,452.85,491.67,389.33,55.9,241.6,241.44,2.3,95009.147,7958.55,59083.702,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502508,Boqueirão,2,474.41,479.33,471.77,477.93,474.21,473.19,471.04,474.12,463.74,468.33,476.5,493.56,467.73,502.26,484.29,91.6,253.85,250.66,3.0,185219.555,10381.1,83304.828,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,2
2017,2502607,Igaracy,2,466.78,473.05,465.23,470.27,456.88,472.51,467.69,480.14,471.02,458.89,459.42,479.95,446.05,469.31,454.29,94.4,253.25,259.37,3.8,51204.68,8294.94,30754.986,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2502706,Borborema,2,477.11,479.15,453.55,457.89,374.12,480.34,462.71,433.56,435.87,320.0,472.5,502.63,482.1,489.34,451.43,87.8,223.64,234.66,2.6,62145.612,11444.86,28352.161,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1
2017,2502805,Brejo do Cruz,2,466.98,464.91,457.71,460.7,463.89,464.26,455.15,456.4,453.75,454.63,470.58,477.83,459.45,469.88,476.13,90.3,238.29,242.05,2.6,122278.362,8667.92,64292.443,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
2017,2502904,Brejo dos Santos,2,473.1,458.69,455.87,474.07,499.17,477.44,454.57,466.95,483.2,529.33,465.88,465.56,437.39,458.84,448.89,100.0,262.38,259.61,3.4,51655.017,7999.85,30766.245,100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,1
